Site name,Sitecode,AltName,Lon,Lat,Easting,Northing
Bronte-Burloak Woods,NA,,-79.72899459,43.37961316,602958,4803756
Drumquin Park,DQP ,,-79.7879795,43.5323267,,
Glenorchy,GLEN ,,-79.78068636,43.45809284,598643.157,4812409.277
Hilton Falls,NA,,-79.996,43.52227,581138.088,4819304.223
Iroquois Shoreline Woods,IQS ,,-79.6847668,43.487892,,
Mountsberg,MTB ,,-80.03075425,43.47001018,578397,4813467
Neyagawa Woods,NEYA ,,-79.75555487,43.47395516,600650,4814201
Rattlesnake Point,RAT ,,-79.93387493,43.47288466,586229,4813882
Robert Edmondson,RED ,Robert Edmondson (Burns),-80.03078651,43.49042312,578368,4815734
Speyside,SPEY ,,-79.9839508,43.579948,,
Twiss,TWS ,Kilbride,-79.96564498,43.44054494,583704,4810258
Waterdown Woods,WEW ,Waterdown Escarpment Woods,-79.86805052,43.33690679,591758,4798850.918
Wildflower Woods,WFW ,,-79.65846971,43.48863254,608476,4815953
Yaremko,YAR ,,-79.98100548,43.47069417,582420,4813591
